DateTime,Wind,Solar
04.01.2023 18:00 - 04.01.2023 18:15 (CET/CEST),44810,2
04.01.2023 18:15 - 04.01.2023 18:30 (CET/CEST),44493,2
04.01.2023 18:30 - 04.01.2023 18:45 (CET/CEST),44622,2
04.01.2023 18:45 - 04.01.2023 19:00 (CET/CEST),44481,2
04.01.2023 19:00 - 04.01.2023 19:15 (CET/CEST),44415,2
04.01.2023 19:15 - 04.01.2023 19:30 (CET/CEST),44461,2
04.01.2023 19:30 - 04.01.2023 19:45 (CET/CEST),44450,2
04.01.2023 19:45 - 04.01.2023 20:00 (CET/CEST),44319,2
04.01.2023 20:00 - 04.01.2023 20:15 (CET/CEST),44510,2
04.01.2023 20:15 - 04.01.2023 20:30 (CET/CEST),44638,2
04.01.2023 20:30 - 04.01.2023 20:45 (CET/CEST),44511,2
04.01.2023 20:45 - 04.01.2023 21:00 (CET/CEST),44434,2
04.01.2023 21:00 - 04.01.2023 21:15 (CET/CEST),44393,2
